"","Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"C16orf59","C16orf59",-0.417041125900507,6.65519571638787,-4.18942606857838,3.31528722658988e-05,0.0129867559848396,2.10547607791037
"EDA2R","EDA2R",0.639101350056738,5.14865812442507,4.17267436474344,3.55973443858958e-05,0.0135807331362405,2.04237427829747
"THRB","THRB",0.533930556146359,7.10790521184448,4.16037308175548,3.7500711187453e-05,0.0135807331362405,1.99618595365392
"CYP2C18","CYP2C18",0.94207810796238,5.05321101907713,4.15984116126737,3.75851625269081e-05,0.0135807331362405,1.99419157361787
"ADH6","ADH6",0.85470928861133,2.89077973390524,4.15962358000786,3.76197593801677e-05,0.0135807331362405,1.99337584367332
"CYP1A1","CYP1A1",-0.814825251267653,1.43521535251969,-4.15055079056292,3.90896922439536e-05,0.0136392353914479,1.95939644403775
"EBI3","EBI3",0.465300079101115,5.33833817997841,4.14804960629927,3.95044398967046e-05,0.0136392353914479,1.95004111403809
"CEP72","CEP72",-0.309598532006534,6.88614322927805,-4.14201215625421,4.05229019060032e-05,0.0136392353914479,1.92748043463004
"RPS6KB2","RPS6KB2",-0.202238678474539,9.98811745694124,-4.13357064453436,4.19888841593486e-05,0.0136392353914479,1.89598741135253
"AOAH","AOAH",0.511709383586524,7.10515614999432,4.12994549468053,4.26338102706983e-05,0.0136392353914479,1.88248125097636
"NUP85","NUP85",-0.184741251537584,9.67232457078588,-4.12676392866957,4.32075777888863e-05,0.0136392353914479,1.87063680798064
"C12orf69","C12orf69",0.419692356517709,3.35259673786382,4.12474320745758,4.35758043070583e-05,0.0136392353914479,1.86311839859618
"DBF4B","DBF4B",-0.312479550045948,7.21787845659284,-4.12401967447822,4.37083747811323e-05,0.0136392353914479,1.86042721226344
"C7","C7",0.817063712281822,9.64292966453928,4.1186003810559,4.47136050125688e-05,0.0137203696981067,1.84028404944737
"SASS6","SASS6",-0.287337802224796,7.09367297717944,-4.10054901246557,4.82229886898219e-05,0.014264554965867,1.77336576652809
"DOCK2","DOCK2",0.434341033032749,9.0718191012834,4.09726307938259,4.88893629420306e-05,0.014264554965867,1.76121385952246
"CCDC141","CCDC141",0.555880749950428,3.60500934706388,4.08857131189058,5.06944895488307e-05,0.014264554965867,1.72911396702697
"ACSL5","ACSL5",0.488871924409337,11.4772803326088,4.08668640963073,5.10942249664335e-05,0.014264554965867,1.72216112578463
"GPSM2","GPSM2",-0.294874551432961,8.84557176873071,-4.08620232870411,5.11973676436152e-05,0.014264554965867,1.72037597698711
"TLR3","TLR3",0.457062461915716,7.54380856223574,4.08538020366311,5.13729907411266e-05,0.014264554965867,1.71734467095684
